timestamp, bead_x, bead_y, bead_z
0.000000,0.001133,0.042331,0.120071 
0.015625,0.001148,0.042286,0.120073 
0.015625,0.001166,0.042281,0.120062 
0.015625,0.001196,0.042243,0.120090 
0.015625,0.001173,0.042225,0.120172 
0.031250,0.001152,0.042270,0.120558 
0.031250,0.001110,0.042231,0.121261 
0.031250,0.001160,0.042180,0.122299 
0.031250,0.001233,0.041820,0.123664 
0.046875,0.001020,0.041606,0.125264 
0.046875,0.001022,0.040994,0.127081 
0.046875,0.001143,0.039610,0.129122 
0.046875,0.000864,0.038247,0.131221 
0.062500,0.000946,0.036243,0.133493 
0.062500,0.001067,0.033791,0.135568 
0.062500,0.000725,0.030167,0.137486 
0.078125,0.000851,0.026344,0.139071 
0.078125,0.000675,0.021728,0.140266 
0.078125,0.000291,0.016063,0.140708 
0.078125,0.000256,0.010021,0.140293 
0.093750,-0.000267,0.003104,0.139424 
0.093750,-0.000187,-0.003408,0.136657 
0.093750,-0.000477,-0.009920,0.133368 
0.093750,-0.001046,-0.017026,0.129519 
0.109375,-0.000798,-0.023378,0.124664 
0.109375,-0.001228,-0.029017,0.119482 
0.109375,-0.001441,-0.033528,0.114194 
0.109375,-0.001124,-0.036982,0.109309 
0.125000,-0.001722,-0.039656,0.105246 
0.125000,-0.001825,-0.040909,0.102577 
0.125000,-0.001286,-0.041197,0.101668 
0.140625,-0.001790,-0.041491,0.102918 
0.140625,-0.001686,-0.040422,0.106053 
0.140625,-0.001383,-0.039284,0.110976 
0.140625,-0.001657,-0.038829,0.117274 
0.156250,-0.001482,-0.038606,0.124336 
0.156250,-0.001369,-0.038799,0.131089 
0.156250,-0.001676,-0.039604,0.136763 
0.156250,-0.001404,-0.040202,0.140602 
0.171875,-0.001295,-0.040666,0.141995 
0.171875,-0.001511,-0.040178,0.140668 
0.171875,-0.001411,-0.038164,0.136723 
0.171875,-0.001373,-0.034368,0.130688 
0.187500,-0.001275,-0.028557,0.123552 
0.187500,-0.000740,-0.020435,0.116099 
0.187500,-0.000515,-0.010509,0.109155 
0.203125,-0.000439,0.000742,0.103373 
0.203125,0.000079,0.012617,0.100537 
0.203125,0.000461,0.023027,0.101227 
0.203125,0.000697,0.031963,0.104912 
0.218750,0.001199,0.038791,0.111066 
0.218750,0.001077,0.041446,0.118625 
0.218750,0.000892,0.040301,0.126417 
0.218750,0.001007,0.035852,0.133351 
0.234375,0.000712,0.026798,0.138418 
0.234375,0.000237,0.013845,0.140259 
0.234375,-0.000286,-0.000209,0.138112 
