timestamp, bead_x, bead_y, bead_z
0.000000,-0.000255,0.001797,0.129660 
0.000000,-0.000250,0.001805,0.129658 
0.000000,-0.000235,0.001816,0.129667 
0.015625,-0.000233,0.001792,0.129670 
0.015625,-0.000258,0.001826,0.129659 
0.015625,-0.000256,0.001820,0.129662 
0.015625,-0.000253,0.001829,0.129659 
0.031250,-0.000232,0.001817,0.129670 
0.031250,-0.000261,0.001819,0.129656 
0.031250,-0.000249,0.001826,0.129689 
0.046875,-0.000135,0.002136,0.129347 
0.046875,-0.000118,0.002170,0.129488 
0.046875,-0.000117,0.002210,0.129768 
0.046875,-0.000117,0.002357,0.130236 
0.062500,-0.000089,0.002552,0.130919 
0.062500,-0.000048,0.002751,0.131783 
0.062500,-0.000051,0.003101,0.133004 
0.062500,-0.000089,0.004136,0.134504 
0.078125,0.000041,0.005534,0.136029 
0.078125,0.000199,0.006923,0.137791 
0.078125,0.000141,0.009438,0.139309 
0.078125,0.000257,0.011967,0.140445 
0.093750,0.000394,0.015372,0.140765 
0.093750,0.000605,0.018541,0.140435 
0.093750,0.000757,0.022146,0.138932 
0.109375,0.000612,0.025763,0.136239 
0.109375,0.000899,0.027816,0.132768 
0.109375,0.000819,0.029104,0.128454 
0.109375,0.000631,0.028950,0.123706 
0.125000,0.000854,0.026653,0.118892 
0.125000,0.000735,0.022869,0.114368 
0.125000,0.000403,0.018176,0.110165 
0.125000,0.000421,0.013380,0.105365 
0.140625,0.000034,0.008561,0.100856 
0.140625,-0.000026,0.004017,0.097311 
0.140625,0.000012,0.002427,0.094174 
0.140625,-0.000150,0.001899,0.092172 
0.156250,0.000035,0.001368,0.091977 
0.156250,0.000026,0.000929,0.093526 
0.156250,-0.000187,-0.001533,0.097359 
0.171875,-0.000293,-0.005698,0.102519 
0.171875,-0.000630,-0.011980,0.108564 
0.171875,-0.000604,-0.018452,0.114593 
0.171875,-0.000697,-0.022863,0.121345 
0.187500,-0.001019,-0.024730,0.128907 
0.187500,-0.000807,-0.022301,0.136091 
0.187500,-0.000430,-0.015487,0.141000 
0.187500,-0.000391,-0.008183,0.141145 
0.203125,-0.000090,-0.002209,0.136227 
0.203125,-0.000038,0.001313,0.130511 
0.203125,-0.000041,0.002248,0.130783 
0.203125,0.000079,0.006929,0.135839 
0.218750,0.000288,0.012179,0.140288 
0.218750,0.000683,0.019838,0.139169 
0.218750,0.000760,0.026204,0.133782 
0.234375,0.000682,0.029301,0.126883 
0.234375,0.000712,0.026299,0.119483 
0.234375,0.000711,0.019230,0.111719 
0.234375,0.000116,0.012062,0.103502 
0.250000,0.000067,0.005891,0.096499 
0.250000,0.000287,0.001556,0.092324 
0.250000,-0.000232,0.001179,0.093151 
0.250000,-0.000258,-0.003919,0.099247 
0.265625,-0.000336,-0.009538,0.105967 
0.265625,-0.000892,-0.017430,0.114356 
0.265625,-0.000462,-0.023351,0.122308 
0.265625,-0.000985,-0.025070,0.130243 
0.281250,-0.001021,-0.021175,0.137263 
0.281250,-0.000089,-0.013469,0.141535 
0.281250,-0.000425,-0.006638,0.140046 
0.296875,-0.000092,-0.000947,0.133987 
0.296875,0.000224,0.002300,0.129804 
0.296875,-0.000317,0.002632,0.131607 
0.296875,0.000138,0.007491,0.136475 
0.312500,0.000530,0.012753,0.140113 
0.312500,0.000372,0.019112,0.139501 
0.312500,0.000937,0.025977,0.134887 
0.312500,0.000845,0.028884,0.128360 
0.328125,0.000542,0.026885,0.121547 
0.328125,0.000912,0.022277,0.114182 
0.328125,0.000386,0.015252,0.106786 
0.328125,-0.000133,0.008502,0.099841 
0.343750,0.000368,0.003747,0.094899 
0.343750,-0.000100,0.001495,0.092864 
0.343750,-0.000313,0.000631,0.093151 
0.359375,0.000167,-0.002934,0.097659 
0.359375,-0.000734,-0.008503,0.104878 
0.359375,-0.000563,-0.015357,0.112173 
0.359375,-0.000306,-0.021963,0.120278 
0.375000,-0.001191,-0.024350,0.127171 
0.375000,-0.000934,-0.023472,0.133708 
0.375000,-0.000290,-0.018316,0.139023 
0.375000,-0.000690,-0.010816,0.141352 
0.390625,-0.000070,-0.004683,0.138723 
0.390625,0.000139,0.000094,0.133368 
0.390625,-0.000304,0.001844,0.129517 
0.390625,0.000178,0.003043,0.131154 
0.406250,-0.000044,0.007297,0.136563 
0.406250,0.000318,0.012457,0.140521 
0.406250,0.000822,0.019421,0.139591 
0.421875,0.000546,0.025854,0.134657 
0.421875,0.000808,0.028756,0.128080 
0.421875,0.000904,0.027204,0.121442 
0.421875,0.000560,0.022236,0.114387 
0.437500,0.000496,0.015225,0.107082 
0.437500,0.000021,0.008702,0.099799 
0.437500,-0.000136,0.003238,0.095110 
0.437500,0.000272,0.001878,0.092393 
0.453125,-0.000493,0.000423,0.093790 
0.453125,-0.000061,-0.003022,0.097741 
0.453125,-0.000432,-0.008464,0.104712 
0.453125,-0.000839,-0.015648,0.112369 
0.468750,-0.000409,-0.022002,0.120212 
0.468750,-0.000947,-0.024282,0.127261 
0.468750,-0.001104,-0.023483,0.133821 
0.484375,-0.000321,-0.018358,0.139048 
0.484375,-0.000508,-0.010856,0.141267 
0.484375,-0.000356,-0.005001,0.139059 
0.484375,0.000205,0.000075,0.133429 
0.500000,-0.000261,0.001840,0.129632 
0.500000,0.000017,0.002976,0.131137 
0.500000,0.000068,0.007331,0.136460 
0.500000,0.000242,0.012416,0.140491 
0.515625,0.000773,0.019370,0.139673 
0.515625,0.000652,0.025831,0.134766 
0.515625,0.000705,0.028697,0.128109 
0.515625,0.000906,0.027235,0.121402 
0.531250,0.000656,0.022259,0.114368 
0.531250,0.000406,0.015205,0.107128 
0.531250,0.000059,0.008762,0.099875 
0.546875,-0.000112,0.003268,0.095125 
0.546875,0.000148,0.001832,0.092356 
0.546875,-0.000296,0.000781,0.093321 
0.546875,-0.000068,-0.003014,0.097739 
0.562500,-0.000476,-0.008456,0.104704 
0.562500,-0.000766,-0.015628,0.112326 
0.562500,-0.000492,-0.022000,0.120147 
0.562500,-0.000992,-0.024321,0.127192 
0.578125,-0.001033,-0.023467,0.133797 
0.578125,-0.000388,-0.018404,0.139066 
0.578125,-0.000513,-0.010891,0.141283 
0.578125,-0.000300,-0.005019,0.139057 
0.593750,0.000120,0.000033,0.133432 
0.593750,-0.000227,0.001807,0.129658 
0.593750,0.000023,0.002975,0.131134 
0.609375,-0.000081,0.006974,0.136829 
0.609375,0.000284,0.012401,0.140470 
0.609375,0.000737,0.019346,0.139680 
0.609375,0.000620,0.025814,0.134794 
0.625000,0.000714,0.028698,0.128124 
