x,y,z
-66.54850105476679,-15.363932060631639,119.4
-66.54752668470199,-15.363707109577295,119.83
-66.54362920444285,-15.362807305359917,120.26
-66.53680861398936,-15.361232647979513,120.68
-66.5280392834063,-15.359208088490417,121.11
-66.51634684262888,-15.356508675838292,121.54
-66.5017312916571,-15.353134410023133,121.97
-66.48516700055573,-15.349310242099286,122.39
-66.46567959926004,-15.344811221012408,122.82
-66.44424345783476,-15.339862297816843,123.25
-66.41988420621513,-15.334238521458248,123.68
-66.39260184440114,-15.327939891936618,124.1
-66.36337074245758,-15.321191360306303,124.53
-66.33121653031967,-15.313767975512954,124.96
-66.29613920798741,-15.305669737556578,125.38
-66.2581387754608,-15.296896646437167,125.81
-66.21916397286937,-15.287898604263411,126.24
-66.17629169001883,-15.278000757872281,126.66
-66.1314706670387,-15.267653009372463,127.09
-66.08372653386422,-15.256630407709615,127.51
-66.03305929049539,-15.244932952883731,127.94
-65.98044330699699,-15.232785595949164,128.36
-65.92490421330423,-15.219963385851566,128.79
-65.86644200941713,-15.206466322590932,129.21
-65.80603106540043,-15.192519357221615,129.64
-65.74367138125417,-15.178122489743606,130.06
-65.67741421684879,-15.162825818048223,130.49
-65.60920831231381,-15.14707924424415,130.91
-65.53807929758449,-15.130657817277049,131.33
-65.4650015427256,-15.11378648820126,131.75
-65.38900067767234,-15.096240305962437,132.18
-65.31007670242475,-15.078019270560587,132.6
-65.22920398704757,-15.059348333050043,133.02
-65.14540816147604,-15.04000254237647,133.44
-65.05966359577495,-15.020206849594212,133.86
-64.97197028994427,-14.999961254703264,134.28
-64.88135387391924,-14.979040806649284,134.7
-64.78878871776465,-14.957670456486616,135.12
-64.6933004514157,-14.935625253160918,135.54
-64.59488907487238,-14.912905196672188,135.96
-64.49452895819951,-14.88973523807477,136.37
-64.39124573133226,-14.86589042631432,136.79
-64.28601376433546,-14.841595712445184,137.21
-64.17785868714431,-14.816626145413014,137.62
-64.06775486982357,-14.791206676272157,138.04
-63.95472794230849,-14.765112353968268,138.45
-63.83877790459904,-14.73834317850135,138.87
-63.721853496824814,-14.711349051980084,139.28
-63.601031608791445,-14.683455121241446,139.69
-63.478260980628505,-14.655111288394119,140.1
-63.353541612335995,-14.626317553438103,140.51
-63.225899133849126,-14.596848965319056,140.93
-63.095333545167904,-14.56670552403698,141.34
-62.96281921635712,-14.536112180646214,141.74
-62.82835614741675,-14.50506893514676,142.15
-62.68999559821725,-14.473125885429932,142.56
-62.55066067895296,-14.44095788465876,142.97
-62.40840264949431,-14.408115030724554,143.37
-62.26322150984132,-14.37459732362732,143.78
-62.11609163005875,-14.340629714421397,144.18
-61.96701301014661,-14.306212203106785,144.59
-61.81501128004011,-14.271119838629142,144.99
-61.66008643973925,-14.235352620988467,145.39
-61.50321285930884,-14.199135501239105,145.79
-61.34439053874884,-14.162468479381054,146.19
-61.182645107994496,-14.125126604359973,146.59
-61.018950937110574,-14.087334827230205,146.99
-60.8523336560323,-14.048868196937404,147.39
-60.683767634824456,-14.009951664535915,147.78
-60.51227850342225,-13.970360278971393,148.18
-60.33884063189048,-13.930318991298186,148.57
-60.16345402022914,-13.88982780151629,148.97
-59.98514429837344,-13.848661758571364,149.36
-59.803911466323385,-13.806820862463404,149.75
-59.62072989414376,-13.764530064246758,150.14
-59.435599581834566,-13.721789363921424,150.53
-59.248520529395805,-13.678598761487402,150.92
-59.058518366762684,-13.634733305890348,151.3
-58.8655930939352,-13.590192997130263,151.69
-58.67169345104294,-13.545427737315833,152.07
-58.47389632789154,-13.499762673284028,152.46
-58.27512483467535,-13.453872658197879,152.84
-58.07343023126481,-13.4073077899487,153.22
-57.86978688772469,-13.360293019590832,153.6
-57.66322043399022,-13.312603396069932,153.98
-57.45470524012618,-13.264463870440345,154.35
-57.24424130613257,-13.21587444270207,154.73
-57.030854261944604,-13.166610161800763,155.1
-56.815518477627066,-13.11689597879077,155.48
-56.598233953179964,-13.066731893672088,155.85
-56.379000688603284,-13.01611790644472,156.22
-56.156844313832245,-12.964829066054318,156.59
-55.93273919893165,-12.91309032355523,156.96
-55.70571097383668,-12.860676727893107,157.32
-55.476734008612155,-12.8078132301223,157.69
-55.24678267332284,-12.754724781297147,158.05
-55.012933857774385,-12.70073652825462,158.41
-54.77811067216114,-12.646523324157748,158.77
-54.540364376353544,-12.591635266897846,159.13
-54.30066934041638,-12.536297307529255,159.49
