x,y,z
-0.10290691231287732,-0.009003188225833096,0.1194
-0.10290691231287732,-0.009003188225833096,0.12003
-0.1028969503658964,-0.00900231666840562,0.12066
-0.10288698841891547,-0.009001445110978142,0.12129
-0.10287702647193456,-0.009000573553550667,0.12192
-0.10285710257797272,-0.008998830438695713,0.12255
-0.10283717868401089,-0.00899708732384076,0.12317
-0.10281725479004905,-0.008995344208985807,0.1238
-0.1027873689491063,-0.008992729536703376,0.12443
-0.10275748310816356,-0.008990114864420947,0.12506
-0.10271763532023988,-0.00898662863471104,0.12569
-0.10267778753231621,-0.008983142405001135,0.12632
-0.10263793974439255,-0.008979656175291229,0.12694
-0.10258813000948795,-0.008975298388153845,0.12757
-0.10253832027458336,-0.008970940601016462,0.1282
-0.10247854859269787,-0.008965711256451602,0.12883
-0.10241877691081236,-0.008960481911886743,0.12945
-0.10235900522892685,-0.008955252567321883,0.13008
-0.10228927160006043,-0.008949151665329547,0.13071
-0.10221953797119401,-0.008943050763337212,0.13133
-0.1021498043423276,-0.008936949861344875,0.13196
-0.10207010876648025,-0.008929977401925063,0.13258
-0.10199041319063291,-0.00892300494250525,0.13321
-0.10190075566780465,-0.008915160925657962,0.13383
-0.10182106009195731,-0.008908188466238148,0.13446
-0.10172144062214815,-0.008899472891963384,0.13508
-0.10163178309931988,-0.008891628875116093,0.1357
-0.10152220168252979,-0.008882041743413852,0.13633
-0.10142258221272062,-0.008873326169139086,0.13695
-0.10131300079593052,-0.008863739037436843,0.13757
-0.10120341937914043,-0.0088541519057346,0.13819
-0.10108387601536943,-0.008843693216604881,0.13881
-0.1009643326515984,-0.008833234527475161,0.13944
-0.1008447892878274,-0.008822775838345443,0.14006
-0.10071528397707546,-0.008811445591788248,0.14067
-0.10058577866632355,-0.008800115345231053,0.14129
-0.10045627335557163,-0.008788785098673856,0.14191
-0.10031680609783877,-0.008776583294689184,0.14253
-0.10017733884010593,-0.008764381490704512,0.14315
-0.10002790963539217,-0.008751308129292363,0.14376
-0.09987848043067842,-0.008738234767880215,0.14438
-0.09972905122596465,-0.008725161406468066,0.14499
-0.09956966007426997,-0.00871121648762844,0.14561
-0.09941026892257529,-0.008697271568788816,0.14622
-0.0992409158238997,-0.008682455092521713,0.14683
-0.09907156272522409,-0.008667638616254612,0.14744
-0.09890220962654848,-0.008652822139987509,0.14806
-0.09872289458089198,-0.00863713410629293,0.14867
-0.09854357953523546,-0.008621446072598352,0.14928
-0.09836426448957895,-0.008605758038903774,0.14988
-0.09817498749694152,-0.008589198447781719,0.15049
-0.09798571050430409,-0.008572638856659664,0.1511
-0.09778647156468574,-0.008555207708110132,0.1517
-0.0975872326250674,-0.008537776559560601,0.15231
-0.09738799368544905,-0.00852034541101107,0.15291
-0.09717879279884978,-0.00850204270503406,0.15352
-0.0969695919122505,-0.008483739999057053,0.15412
-0.09676039102565123,-0.008465437293080044,0.15472
-0.09654122819207106,-0.00844626302967556,0.15532
-0.09632206535849087,-0.008427088766271075,0.15592
-0.09609294057792978,-0.008407042945439114,0.15652
-0.09586381579736868,-0.008386997124607151,0.15712
-0.09563469101680758,-0.00836695130377519,0.15771
-0.09539560428926555,-0.008346033925515752,0.15831
-0.09515651756172352,-0.008325116547256314,0.1589
-0.09490746888720059,-0.0083033276115694,0.15949
-0.09465842021267766,-0.008281538675882485,0.16008
-0.09440937153815472,-0.00825974974019557,0.16067
-0.0941603228636318,-0.008237960804508657,0.16126
-0.09390131224212793,-0.008215300311394265,0.16185
-0.09364230162062408,-0.008192639818279874,0.16244
-0.0933733290521393,-0.008169107767738005,0.16302
-0.09310435648365455,-0.008145575717196138,0.1636
-0.09283538391516977,-0.00812204366665427,0.16419
-0.09255644939970409,-0.008097640058684926,0.16477
-0.0922775148842384,-0.008073236450715582,0.16535
-0.0919985803687727,-0.008048832842746238,0.16592
-0.0917096839063261,-0.008023557677349417,0.1665
-0.09142078744387949,-0.007998282511952597,0.16708
-0.09112192903445196,-0.0079721357891283,0.16765
-0.09082307062502444,-0.007945989066304001,0.16822
-0.09052421221559692,-0.007919842343479705,0.16879
-0.09022535380616939,-0.007893695620655406,0.16936
-0.08991653344976096,-0.007866677340403633,0.16993
-0.0895977511463716,-0.007838787502724383,0.1705
-0.08928893078996315,-0.007811769222472608,0.17106
-0.0889701484865738,-0.007783879384793357,0.17162
-0.08864140423620352,-0.00775511798968663,0.17218
-0.08832262193281416,-0.007727228152007379,0.17274
-0.08799387768244389,-0.0076984667569006526,0.1733
-0.08765517148509269,-0.007668833804366448,0.17385
-0.08731646528774151,-0.007639200851832245,0.17441
-0.08697775909039031,-0.007609567899298041,0.17496
-0.08663905289303911,-0.0075799349467638374,0.17551
-0.086290384748707,-0.007549430436802156,0.17606
-0.08594171660437488,-0.007518925926840476,0.17661
-0.08558308651306186,-0.007487549859451319,0.17715
-0.08522445642174883,-0.007456173792062162,0.17769
-0.08486582633043581,-0.007424797724673005,0.17823
-0.08449723429214186,-0.007392550099856372,0.17877
-0.0841286422538479,-0.007360302475039738,0.17931
-0.08376005021555397,-0.007328054850223104,0.17984
-0.08339145817726003,-0.007295807225406472,0.18037
-0.08301290419198516,-0.007262688043162361,0.1809
-0.08262438825972937,-0.007228697303490774,0.18143
-0.0822458342744545,-0.007195578121246663,0.18196
-0.08185731834219874,-0.007161587381575078,0.18248
-0.08145884046296203,-0.007126725084476013,0.183
-0.08107032453070624,-0.007092734344804427,0.18352
-0.08067184665146955,-0.007057872047705364,0.18404
-0.08026340682525195,-0.007022138193178824,0.18455
-0.07986492894601524,-0.006987275896079761,0.18507
-0.07945648911979762,-0.006951542041553221,0.18558
-0.07903808734659909,-0.0069149366295992035,0.18608
-0.07862964752038147,-0.006879202775072664,0.18659
-0.07821124574718294,-0.006842597363118648,0.18709
-0.0777828820270035,-0.006805120393737154,0.18759
-0.07736448025380496,-0.006768514981783139,0.18809
-0.0769361165336255,-0.006731038012401645,0.18859
-0.07650775281344604,-0.0066935610430201515,0.18908
-0.07606942714628569,-0.006655212516211183,0.18957
-0.07563110147912533,-0.0066168639894022135,0.19006
-0.07519277581196496,-0.006578515462593244,0.19054
-0.07474448819782367,-0.006539295378356797,0.19102
-0.0743061625306633,-0.006500946851547828,0.1915
-0.0738479129695411,-0.006460855209883905,0.19198
-0.0733996253553998,-0.006421635125647459,0.19246
-0.0729413757942776,-0.0063815434839835355,0.19293
-0.0724831262331554,-0.006341451842319614,0.1934
-0.07202487667203321,-0.006301360200655691,0.19386
-0.07155666516393008,-0.006260397001564291,0.19433
-0.07108845365582697,-0.006219433802472892,0.19479
-0.07062024214772383,-0.006178470603381492,0.19525
-0.07014206869263981,-0.006136635846862616,0.1957
-0.06966389523755577,-0.006094801090343741,0.19615
-0.06918572178247173,-0.006052966333824864,0.1966
-0.06869758638040677,-0.006010260019878511,0.19705
-0.06821941292532273,-0.005968425263359636,0.19749
-0.06773127752325778,-0.005925718949413283,0.19793
-0.0672331801742119,-0.005882141078039454,0.19837
-0.06674504477214696,-0.005839434764093102,0.1988
-0.06624694742310108,-0.005795856892719273,0.19923
-0.06573888812707428,-0.005751407463917967,0.19966
-0.06524079077802843,-0.005707829592544138,0.20009
-0.06473273148200162,-0.005663380163742832,0.20051
-0.06422467218597483,-0.005618930734941526,0.20093
-0.06371661288994805,-0.005574481306140221,0.20134
-0.06319859164694033,-0.0055291603199114385,0.20176
-0.06268057040393263,-0.005483839333682656,0.20217
-0.06216254916092492,-0.005438518347453874,0.20257
-0.06164452791791721,-0.005393197361225091,0.20297
-0.061116544727928594,-0.005347004817568833,0.20337
-0.06058856153793996,-0.005300812273912573,0.20377
-0.060060578347951345,-0.005254619730256315,0.20416
-0.05952263321098179,-0.0052075556291725795,0.20455
-0.058994650020993175,-0.005161363085516321,0.20494
-0.05845670488402363,-0.0051142989844325856,0.20532
-0.05790879780007317,-0.005066363325921373,0.2057
-0.05737085266310363,-0.005019299224837638,0.20608
-0.05682294557915317,-0.004971363566326426,0.20645
-0.056275038495202705,-0.004923427907815214,0.20682
-0.05572713141125224,-0.004875492249304001,0.20719
-0.05516926238032087,-0.004826685033365313,0.20755
-0.054621355296370404,-0.0047787493748541006,0.20791
-0.05406348626543903,-0.004729942158915412,0.20826
-0.053505617234507655,-0.004681134942976724,0.20861
-0.05293778625659536,-0.004631456169610558,0.20896
-0.05236995527868306,-0.004581777396244394,0.20931
-0.05181208624775169,-0.004532970180305705,0.20965
-0.05123429332285847,-0.004482419849512063,0.20999
-0.05066646234494618,-0.004432741076145898,0.21032
-0.05009863136703389,-0.004383062302779733,0.21065
-0.04952083844214067,-0.00433251197198609,0.21098
-0.04894304551724746,-0.004281961641192449,0.2113
-0.048365252592354246,-0.004231411310398807,0.21162
-0.04777749772048012,-0.004179989422177689,0.21193
-0.047199704795586904,-0.004129439091384047,0.21224
-0.04661194992371277,-0.004078017203162929,0.21255
-0.04602419505183864,-0.0040265953149418105,0.21286
-0.0454264782329836,-0.003974301869293216,0.21316
-0.044838723361109466,-0.0039228799810720975,0.21345
-0.044241006542254414,-0.003870586535423502,0.21375
-0.04364328972339938,-0.0038182930897749075,0.21403
-0.043045572904544326,-0.003765999644126312,0.21432
-0.04244785608568928,-0.0037137061984777175,0.2146
-0.04185013926683423,-0.0036614127528291226,0.21488
-0.041242460500998265,-0.003608247749753051,0.21515
-0.0406347817351623,-0.0035550827466769796,0.21542
-0.040027102969326336,-0.003501917743600908,0.21569
-0.03941942420349037,-0.0034487527405248366,0.21595
-0.03881174543765441,-0.003395587737448765,0.21621
-0.03819410472483752,-0.0033415511769452166,0.21646
-0.03758642595900156,-0.003288386173869145,0.21671
-0.036968785246184674,-0.0032343496133655967,0.21695
-0.036351144533367796,-0.003180313052862049,0.2172
-0.03573350382055091,-0.0031262764923585006,0.21743
-0.03511586310773403,-0.0030722399318549526,0.21767
-0.03448826044793623,-0.003017331813923928,0.2179
-0.03386065778813843,-0.0029624236959929036,0.21812
-0.03324301707532155,-0.002908387135489355,0.21834
-0.03261541441552375,-0.0028534790175583306,0.21856
-0.03198781175572595,-0.002798570899627306,0.21877
-0.03135024714894723,-0.0027427912242688045,0.21898
-0.030722644489149433,-0.00268788310633778,0.21919
-0.030095041829351632,-0.0026329749884067555,0.21939
-0.029457477222572914,-0.002577195313048254,0.21958
-0.0288199126157942,-0.002521415637689753,0.21978
-0.028182348009015482,-0.0024656359623312515,0.21996
-0.027544783402236764,-0.0024098562869727504,0.22015
-0.026907218795458047,-0.002354076611614249,0.22033
-0.026269654188679332,-0.002298296936255748,0.2205
-0.02563208958190061,-0.0022425172608972464,0.22068
-0.02498456302814098,-0.002185866028111269,0.22084
-0.024337036474381343,-0.002129214795325291,0.22101
-0.023699471867602625,-0.0020734351199667893,0.22116
-0.023051945313842994,-0.0020167838871808117,0.22132
-0.022404418760083356,-0.0019601326543948337,0.22147
-0.021756892206323722,-0.0019034814216088557,0.22162
-0.021109365652564088,-0.001846830188822878,0.22176
-0.020461839098804453,-0.0017901789560369002,0.22189
-0.0198043505980639,-0.0017326561658234456,0.22203
-0.019156824044304268,-0.0016760049330374679,0.22216
-0.01850929749054463,-0.0016193537002514898,0.22228
-0.01785180898980408,-0.0015618309100380355,0.2224
-0.01719432048906353,-0.0015043081198245812,0.22252
-0.016546793935303894,-0.0014476568870386032,0.22263
-0.01588930543456334,-0.0013901340968251487,0.22274
-0.015231816933822789,-0.0013326113066116944,0.22284
-0.014574328433082238,-0.00127508851639824,0.22294
-0.013916839932341685,-0.0012175657261847856,0.22303
-0.013259351431601134,-0.0011600429359713313,0.22312
-0.012601862930860581,-0.0011025201457578768,0.22321
-0.01194437443012003,-0.0010449973555444222,0.22329
-0.01127692398239856,-0.0009866030079034912,0.22337
-0.010619435481658007,-0.0009290802176900368,0.22344
-0.009961946980917456,-0.0008715574274765824,0.22351
-0.009294496533195985,-0.0008131630798356513,0.22357
-0.008637008032455434,-0.0007556402896221969,0.22363
-0.007969557584733965,-0.0006972459419812659,0.22369
-0.007312069083993412,-0.0006397231517678115,0.22374
-0.006644618636271943,-0.0005813288041268804,0.22378
-0.00598713013553139,-0.000523806013913426,0.22382
-0.005319679687809922,-0.000465411666272495,0.22386
-0.004662191187069369,-0.00040788887605904055,0.22389
-0.003994740739347899,-0.0003494945284181095,0.22392
-0.00332729029162643,-0.0002911001807771785,0.22395
-0.0026698017908858783,-0.00023357739056372408,0.22397
-0.0020023513431644087,-0.00017518304292279307,0.22398
-0.0013349008954429392,-0.00011678869528186204,0.22399
-0.000677412394702387,-5.9265905068407605e-05,0.224
-9.961946980917456e-06,-8.715574274765824e-07,0.224
0.000657488500740552,5.7522790213454434e-05,0.224
0.001314977001481104,0.00011504558042690887,0.22399
0.0019824274492025737,0.0001734399280678399,0.22398
0.002649877896924043,0.0002318342757087709,0.22397
0.0033173283446455127,0.00029022862334970195,0.22395
0.003974816845386064,0.0003477514135631563,0.22392
0.004642267293107534,0.0004061457612040874,0.2239
0.005299755793848086,0.0004636685514175418,0.22386
0.005967206241569555,0.0005220628990584727,0.22382
0.006634656689291025,0.0005804572466994039,0.22378
0.007292145190031577,0.0006379800369128583,0.22374
0.007959595637753048,0.0006963743845537893,0.22369
0.008617084138493599,0.0007538971747672438,0.22363
0.009284534586215068,0.0008122915224081748,0.22357
0.00994202308695562,0.0008698143126216291,0.22351
0.010599511587696172,0.0009273371028350836,0.22344
0.011266962035417643,0.0009857314504760147,0.22337
0.011924450536158194,0.001043254240689469,0.22329
0.012581939036898747,0.0011007770309029235,0.22321
0.013239427537639297,0.001158299821116378,0.22312
0.01389691603837985,0.0012158226113298323,0.22303
0.014554404539120403,0.0012733454015432868,0.22294
0.015211893039860955,0.0013308681917567414,0.22284
0.015869381540601506,0.0013883909819701957,0.22274
0.01652687004134206,0.0014459137721836502,0.22263
0.01718435854208261,0.0015034365623971047,0.22252
0.017831885095842246,0.0015600877951830823,0.2224
0.018489373596582797,0.0016176105853965368,0.22228
0.019136900150342435,0.0016742618181825148,0.22216
0.019794388651082982,0.0017317846083959691,0.22203
0.02044191520484262,0.001788435841181947,0.2219
0.021089441758602254,0.001845087073967925,0.22176
0.021736968312361885,0.0019017383067539027,0.22162
0.022384494866121523,0.0019583895395398807,0.22147
0.023032021419881157,0.0020150407723258587,0.22132
0.02367954797364079,0.0020716920051118363,0.22117
0.024327074527400426,0.0021283432378978143,0.22101
0.024964639134179144,0.0021841229132563153,0.22085
0.025612165687938778,0.0022407741460422933,0.22068
0.026249730294717492,0.0022965538214007944,0.22051
0.02689725684847713,0.0023532050541867724,0.22033
0.027534821455255848,0.002408984729545274,0.22015
0.028172386062034562,0.002464764404903775,0.21997
0.028809950668813283,0.0025205440802622764,0.21978
0.02943755332861108,0.002575452198193301,0.21959
0.0300751179353898,0.0026312318735518024,0.21939
0.030702720595187596,0.002686139991482827,0.21919
0.031340285201966314,0.002741919666841328,0.21899
0.03196788786176411,0.002796827784772353,0.21878
0.032595490521561916,0.0028517359027033775,0.21856
0.033223093181359714,0.002906644020634402,0.21835
0.03385069584115752,0.002961552138565427,0.21813
0.034468336553974396,0.003015588699068975,0.2179
0.035095939213772194,0.0030704968169999996,0.21767
0.03571357992658908,0.0031245333775035476,0.21744
0.03633122063940596,0.003178569938007096,0.2172
0.03694886135222284,0.0032326064985106436,0.21696
0.037566502065039725,0.003286643059014192,0.21671
0.03818414277785661,0.0033406796195177405,0.21646
0.038791821543692574,0.003393844622593812,0.21621
0.03940946225650945,0.0034478811830973596,0.21595
0.040017141022345416,0.003501046186173431,0.21569
0.04062481978818138,0.0035542111892495026,0.21543
0.04123249855401735,0.0036073761923255745,0.21516
0.0418302153728724,0.003659669637974169,0.21488
0.04243789413870836,0.0037128346410502406,0.21461
0.04303561095756341,0.003765128086698836,0.21433
0.04363332777641846,0.0038174215323474306,0.21404
0.0442310445952735,0.003869714977996026,0.21375
0.04481879946714763,0.003921136866217144,0.21346
0.04541651628600268,0.003973430311865739,0.21316
0.04600427115787681,0.0040248522000868574,0.21286
0.04659202602975094,0.004076274088307976,0.21256
0.04717978090162507,0.004127695976529094,0.21225
0.047767535773499195,0.004179117864750212,0.21194
0.048345328698392406,0.0042296681955438535,0.21163
0.048923121623285624,0.004280218526337496,0.21131
0.049500914548178836,0.004330768857131137,0.21098
0.050078707473072054,0.00438131918792478,0.21066
0.05065650039796526,0.004431869518718421,0.21033
0.051224331375877556,0.004481548292084587,0.20999
0.051792162353789854,0.004531227065450752,0.20966
0.052359993331702145,0.004580905838816917,0.20932
0.05292782430961444,0.004630584612183082,0.20897
0.05348569334054582,0.004679391828121771,0.20862
0.05404356237147719,0.004728199044060459,0.20827
0.05460143140240857,0.0047770062599991475,0.20792
0.055159300433339956,0.004825813475937837,0.20756
0.05571716946427133,0.004874620691876525,0.20719
0.05626507654822179,0.004922556350387738,0.20683
0.05681298363217224,0.004970492008898949,0.20646
0.05736089071612271,0.005018427667410161,0.20609
0.05789883585309225,0.005065491768493896,0.20571
0.05843678099006179,0.005112555869577632,0.20533
0.05897472612703134,0.005159619970661368,0.20495
0.05951267126400088,0.005206684071745103,0.20456
0.060050616400970425,0.005253748172828839,0.20417
0.06057859959095905,0.005299940716485097,0.20378
0.06110658278094767,0.005346133260141356,0.20338
0.06162460402395538,0.005391454246370138,0.20298
0.062152587213944004,0.005437646790026398,0.20258
0.0626706084569517,0.005482967776255179,0.20217
0.06318862969995942,0.0055282887624839615,0.20177
0.06370665094296714,0.005573609748712745,0.20135
0.06421471023899392,0.00561805917751405,0.20094
0.06472276953502071,0.005662508606315356,0.20052
0.0652308288310475,0.005706958035116661,0.2001
0.06572892618009336,0.0057505359064904905,0.19967
0.06622702352913924,0.005794113777864319,0.19924
0.06672512087818512,0.005837691649238148,0.19881
0.06722321822723099,0.005881269520611978,0.19838
0.06771135362929595,0.00592397583455833,0.19794
0.06820945097834182,0.0059675537059321595,0.1975
0.06868762443342585,0.006009388462451035,0.19706
0.06917575983549082,0.006052094776397388,0.19661
0.06965393329057484,0.006093929532916264,0.19616
0.0701321067456589,0.00613576428943514,0.19571
0.07061028020074292,0.0061775990459540155,0.19525
0.07107849170884604,0.006218562245045415,0.1948
0.07154670321694916,0.006259525444136814,0.19434
0.07201491472505228,0.006300488643228213,0.19387
0.07247316428617448,0.006340580284892136,0.19341
0.07293141384729669,0.006380671926556059,0.19294
0.07338966340841889,0.006420763568219982,0.19246
0.07383795102256019,0.006459983652456429,0.19199
0.07429620058368237,0.006500075294120351,0.19151
0.07474448819782367,0.006539295378356797,0.19103
0.07518281386498403,0.006577643905165766,0.19055
0.07562113953214442,0.0066159924319747375,0.19007
0.07605946519930477,0.006654340958783706,0.18958
0.07649779086646513,0.006692689485592675,0.18909
0.07692615458664459,0.006730166454974169,0.18859
0.07735451830682404,0.006767643424355662,0.1881
0.0777828820270035,0.006805120393737154,0.1876
0.07820128380020203,0.006841725805691172,0.1871
0.07861968557340056,0.006878331217645188,0.1866
0.07903808734659909,0.0069149366295992035,0.18609
0.07944652717281671,0.006950670484125745,0.18558
0.07985496699903431,0.006986404338652284,0.18507
0.08026340682525195,0.007022138193178824,0.18456
0.08066188470448864,0.007057000490277888,0.18405
0.08106036258372533,0.00709186278737695,0.18353
0.08145884046296203,0.007126725084476013,0.18301
0.08184735639521781,0.007160715824147601,0.18249
0.08223587232747359,0.007194706563819187,0.18197
0.08262438825972937,0.007228697303490774,0.18144
0.08300294224500425,0.0072618164857348845,0.18091
0.0833814962302791,0.007294935667978994,0.18038
0.08376005021555397,0.007328054850223104,0.17985
0.0841286422538479,0.007360302475039738,0.17932
0.08449723429214186,0.007392550099856372,0.17878
0.0848558643834549,0.007423926167245529,0.17824
0.08522445642174883,0.007456173792062162,0.1777
0.08558308651306186,0.007487549859451319,0.17716
0.08593175465739397,0.007518054369413,0.17661
0.08628042280172608,0.00754855887937468,0.17607
0.08662909094605818,0.00757906338933636,0.17552
0.08697775909039031,0.007609567899298041,0.17497
0.08731646528774151,0.007639200851832245,0.17442
0.08765517148509269,0.007668833804366448,0.17386
0.08798391573546296,0.007697595199473175,0.17331
0.08831265998583325,0.007726356594579903,0.17275
0.08864140423620352,0.00775511798968663,0.17219
0.08896018653959288,0.0077830078273658804,0.17163
0.08927896884298224,0.007810897665045132,0.17107
0.0895977511463716,0.007838787502724383,0.1705
0.08990657150278003,0.007865805782976156,0.16994
0.09021539185918848,0.00789282406322793,0.16937
0.09052421221559692,0.007919842343479705,0.1688
0.09082307062502444,0.007945989066304001,0.16823
0.09112192903445196,0.0079721357891283,0.16766
0.09141082549689857,0.007997410954525119,0.16708
0.0917096839063261,0.008023557677349417,0.16651
0.09198861842179179,0.008047961285318763,0.16593
0.0922775148842384,0.008073236450715582,0.16535
0.09255644939970409,0.008097640058684926,0.16477
0.09282542196818885,0.008121172109226794,0.16419
0.09310435648365455,0.008145575717196138,0.16361
0.0933733290521393,0.008169107767738005,0.16303
0.09363233967364316,0.008191768260852397,0.16244
0.09390131224212793,0.008215300311394265,0.16185
0.09415036091665087,0.00823708924708118,0.16127
0.09440937153815472,0.00825974974019557,0.16068
0.09465842021267766,0.008281538675882485,0.16009
0.09490746888720059,0.0083033276115694,0.1595
0.09515651756172352,0.008325116547256314,0.1589
0.09539560428926555,0.008346033925515752,0.15831
0.09563469101680758,0.00836695130377519,0.15771
0.09586381579736868,0.008386997124607151,0.15712
0.09609294057792978,0.008407042945439114,0.15652
0.09632206535849087,0.008427088766271075,0.15592
0.09654122819207106,0.00844626302967556,0.15532
0.09676039102565123,0.008465437293080044,0.15472
0.0969695919122505,0.008483739999057053,0.15412
0.09717879279884978,0.00850204270503406,0.15352
0.09738799368544905,0.00852034541101107,0.15292
0.0975872326250674,0.008537776559560601,0.15231
0.09778647156468574,0.008555207708110132,0.15171
0.09798571050430409,0.008572638856659664,0.1511
0.09817498749694152,0.008589198447781719,0.15049
0.09836426448957895,0.008605758038903774,0.14989
0.09854357953523546,0.008621446072598352,0.14928
0.09872289458089198,0.00863713410629293,0.14867
0.09890220962654848,0.008652822139987509,0.14806
0.09907156272522409,0.008667638616254612,0.14745
0.0992409158238997,0.008682455092521713,0.14683
0.09941026892257529,0.008697271568788816,0.14622
0.09956966007426997,0.00871121648762844,0.14561
0.09972905122596465,0.008725161406468066,0.14499
0.09987848043067842,0.008738234767880215,0.14438
0.10002790963539217,0.008751308129292363,0.14376
0.10017733884010593,0.008764381490704512,0.14315
